id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,21.55,197828079717,58,226121795586,7554305464.0,22.04,21.52,-0.23335681016406085,-1.07131,-2458692928.635681,-1.22759,9176476451.154093,10488912065.7207,,106.68,-79.81886,2024-03-13T18:55:06.692Z,13.16,63.5923,2025-04-07T07:06:08.017Z,,2025-08-24T07:22:50.337Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,22.51,196285424112,59,196287613179,6273013715.0,23.09,22.47,-0.5360012635715137,-2.32562,-5122267113.906189,-2.54323,8720116177.893347,8720213428.715698,10000000000.0,247.29,-90.90032,2019-06-20T14:51:19.480Z,7.26,210.16351,2023-09-11T19:42:08.247Z,"{'times': -0.8925931665974004, 'currency': 'usd', 'percentage': -89.25931665974004}",2025-08-24T07:23:00.953Z
binance-staked-sol,bnsol,Binance Staked SOL,https://coin-images.coingecko.com/coins/images/40132/large/bnsol.png?1725968367,19379.27,194975891972,60,194975891972,431078237.0,19681.78,18806.51,72.92,0.37772,2167832920.0,1.12435,10061055.11738378,10061055.11738378,,25798.0,-24.88232,2025-01-19T11:30:53.744Z,8601.45,125.30169,2025-04-07T06:56:20.488Z,,2025-08-24T07:23:01.019Z
pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,3.09,194052776669,61,245619254330,27568243313.0,3.18,3.06,-0.014730004596283042,-0.47482,-1527324130.4737854,-0.78092,62860396090.0,79564559083.28307,88888888888.0,5.81,-47.0079,2024-12-17T13:05:22.873Z,0.320882,859.75853,2025-04-09T01:31:57.832Z,,2025-08-24T07:23:00.943Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,413.66,192506178677,62,192506178677,10691154287.0,430.14,412.78,-7.364852119621162,-1.74927,-3554998463.793457,-1.81321,465057537.807107,465057537.807107,,3301.61,-87.47183,2022-01-17T00:34:41.497Z,87.61,372.11311,2020-03-13T02:27:44.591Z,"{'times': 46.36737249053307, 'currency': 'usd', 'percentage': 4636.737249053307}",2025-08-24T07:23:01.179Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,473107.0,191331890110,63,191331890110,1938756479.0,477435.0,466568.0,2187.72,0.46456,494761633.0,0.25926,404265.3635475193,404265.3635475193,,484146.0,-2.28522,2025-08-22T21:11:00.127Z,69172.0,583.91762,2022-06-18T20:55:45.957Z,,2025-08-24T07:23:00.920Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,2.18,187620084499,64,187620084499,3700173599.0,2.25,2.18,-0.07161291921956892,-3.17817,-6575157122.255829,-3.38585,85985041177.0,85985041177.0,86712634466.0,20.95,-89.58398,2021-04-19T01:08:21.675Z,0.144791,1406.76186,2020-03-13T02:29:59.652Z,"{'times': 0.8359212635886528, 'currency': 'eth', 'percentage': 83.59212635886529}",2025-08-24T07:22:50.646Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,1542.87,184269905608,65,462815719382,621455488.0,1611.49,1542.7,-60.04299539410226,-3.74586,-7219857786.266571,-3.77036,119444887.81900902,300000000.0,,2235.58,-30.99186,2025-01-25T03:07:37.823Z,19.44,7837.26152,2020-03-13T02:18:02.481Z,,2025-08-24T07:23:01.032Z
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,435915.0,176577060723,66,176577060723,68578795.0,439916.0,429629.0,2246.56,0.51804,995604850.0,0.56703,404878.9755002078,404878.9755002078,,445901.0,-2.2251,2025-08-22T21:33:49.097Z,126014.0,245.97665,2025-04-09T01:45:22.546Z,,2025-08-24T07:23:00.801Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,395.64,170782937346,67,344364295210,4253798011.0,396.5,394.31,0.4628,0.11711,-18713573.286834717,-0.01096,431833245.0,870742437.0,1000000000.0,403.42,-1.98156,2025-08-05T02:34:13.695Z,32.24,1126.51202,2023-01-21T10:15:39.503Z,,2025-08-24T07:23:00.769Z
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,https://coin-images.coingecko.com/coins/images/33094/large/jlp.png?1700631386,478.35,169845221573,68,169845221573,3012781667.0,481.78,471.5,1.072,0.22468,403790737.0,0.23831,354674630.312803,354674630.312803,,482.15,-0.78326,2025-08-14T05:13:36.112Z,12.24,3808.06045,2023-11-24T05:55:06.706Z,,2025-08-24T07:23:00.850Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,326.5,169496377122,69,174322726178,4737881053.0,337.02,326.4,-10.519726413787055,-3.12141,-5642485338.11676,-3.22172,518361989.0562826,533122162.3362826,644245094.0,1121.89,-70.89244,2024-03-17T16:30:24.636Z,2.79,11604.49582,2020-06-16T13:22:25.900Z,,2025-08-24T07:23:00.906Z
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,27.55,165524027977,70,275567194222,11477667092.0,28.46,27.52,-0.311085413443557,-1.11647,-1996885266.378418,-1.19202,6006666666.0,10000000000.0,,94.47,-70.86672,2024-03-16T02:30:23.904Z,7.94,246.65677,2023-10-19T10:31:15.579Z,,2025-08-24T07:23:00.889Z
worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,84.8,165274441929,71,848069488461,11534846307.0,88.96,84.5,-4.159173102583395,-4.67545,-8038459767.465637,-4.63812,1948831365.560355,10000000000.0,10000000000.0,971.56,-91.30041,2024-03-10T00:10:42.330Z,50.08,68.77085,2025-04-07T07:06:11.379Z,,2025-08-24T07:23:00.867Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,92.95,161645224708,72,161645224708,4078318538.0,92.96,92.93,0.01652658,0.01778,2175190159.0,1.36401,1739112130.176046,1739112130.176046,,94.56,-1.7047,2025-02-03T02:31:35.208Z,82.5,12.65986,2025-01-04T01:21:08.460Z,,2025-08-24T07:23:00.936Z
stakewise-v3-oseth,oseth,StakeWise Staked ETH,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,437379.0,157051563258,73,157051563258,466577245.0,441385.0,431182.0,1738.54,0.39908,626753867.0,0.40067,358880.6839472,358880.6839472,,447673.0,-2.28413,2025-08-22T21:29:06.078Z,126078.0,246.96653,2025-04-09T01:32:44.161Z,,2025-08-24T07:23:00.682Z
story-2,ip,Story,https://coin-images.coingecko.com/coins/images/54035/large/Transparent_bg.png?1738075331,516.51,156902632848,74,522779508452,4171330444.0,540.02,516.07,-21.99291458169955,-4.0841,-6624185134.3246765,-4.05082,303741327.5,1012027261.78,,637.19,-18.88437,2025-02-26T16:11:25.410Z,87.81,488.60853,2025-02-14T03:11:08.309Z,,2025-08-24T07:23:01.121Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,59.04,153833007752,75,160301463610,4616680396.0,60.5,58.93,-1.179653370450481,-1.9588,-3229077227.180969,-2.05592,2604959126.672,2714493896.672,2714493896.672,287.87,-79.49218,2024-03-28T17:21:18.050Z,0.616804,9471.4084,2020-03-13T02:24:18.347Z,"{'times': 6.798104647075109, 'currency': 'usd', 'percentage': 679.810464707511}",2025-08-24T07:23:00.925Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,0.00196522,152120525318,76,172900666546,15365969950.0,0.00203503,0.00195759,-6.9818149225977e-05,-3.43081,-5911443851.922943,-3.74066,77419592329436.58,87995351642723.2,87995351642723.2,0.00491619,-60.17765,2024-11-20T04:01:06.465Z,7.14e-06,27336.04247,2022-12-29T22:48:46.755Z,,2025-08-24T07:23:01.250Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,759.23,151791975336,77,758959978787,24766710305.0,778.95,758.76,-19.044012888636985,-2.44696,-4088144571.69458,-2.62262,199999973.092266,1000000000.0,1000000000.0,6357.94,-88.06292,2025-01-19T11:50:34.806Z,371.49,104.2976,2025-01-18T03:40:29.231Z,,2025-08-24T07:23:00.897Z
liquid-staked-ethereum,lseth,Liquid Staked ETH,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,448486.0,151095160465,78,151095160465,52031282.0,452042.0,443104.0,2211.5,0.49555,847537940.0,0.56409,336454.9153426194,336454.9153426194,,457092.0,-1.82968,2025-08-22T21:48:39.161Z,113614.0,294.96023,2023-03-10T10:47:08.985Z,,2025-08-24T07:23:00.754Z
bfusd,bfusd,BFUSD,https://coin-images.coingecko.com/coins/images/68227/large/bfusd.png?1755132827,87.26,148341516594,79,148341516594,460082832.0,87.31,87.26,-0.017282176145229755,-0.0198,-29379701.175079346,-0.0198,1700000100.0,1700000100.0,,87.71,-0.5081,2025-08-14T20:54:20.045Z,86.85,0.47743,2025-08-19T09:52:03.013Z,,2025-08-24T07:23:01.347Z
flare-networks,flr,Flare,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,2.05,147399334960,80,212732889413,549030833.0,2.07,2.03,-0.010341272617468533,-0.50226,-713526140.9775696,-0.48174,71950482336.29681,103841947497.6361,,12.35,-83.41072,2023-01-10T03:14:05.921Z,0.687929,197.72229,2023-10-19T23:41:38.524Z,,2025-08-24T07:23:00.775Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,213.74,146366130635,81,418751282795,14459698459.0,222.65,213.58,-8.905973414586185,-4.00004,-6266216134.412506,-4.10543,684773000.0,1959125181.0,1959125181.0,17367.85,-98.76931,2021-04-01T13:29:41.564Z,171.89,24.35185,2025-06-22T20:30:12.846Z,,2025-08-24T07:23:00.912Z
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,1142.19,145484197931,82,162610472074,238673431.0,1166.91,1129.99,-21.05933425894682,-1.81038,-2785211086.5310974,-1.87848,127421933.7355671,142421933.7355671,,2158.41,-47.11392,2021-12-01T15:09:35.541Z,24.48,4562.66599,2019-02-13T00:00:00.000Z,,2025-08-24T07:23:01.135Z
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,44.92,137731093341,83,315213245244,4259269367.0,46.55,44.84,-1.3103156438280052,-2.83454,-4251935545.380554,-2.99468,3058272222.2,6999203219.939382,10000000000.0,166.05,-72.96681,2024-01-31T15:02:47.304Z,26.3,70.70997,2025-04-07T06:56:22.719Z,,2025-08-24T07:23:00.994Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,10033782.0,135690820357,84,135690820357,365556338.0,10141994.0,9984731.0,-70812.42158426344,-0.70079,-730910328.2035675,-0.53577,13523.70173663004,13523.70173663004,,10877124.0,-7.74766,2025-08-14T00:51:32.053Z,4377154.0,129.24488,2024-09-06T21:01:52.094Z,,2025-08-24T07:23:00.795Z
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,9263.1,134672374646,85,135304957091,1342739072.0,9598.46,9245.64,-335.35794698158315,-3.49387,-4966777675.478134,-3.55687,14544176.164091088,14612493.0,14612493.0,31427.0,-70.54124,2021-09-11T09:15:00.668Z,15.06,61374.89465,2018-08-23T00:00:00.000Z,"{'times': 8.571498588041681, 'currency': 'eth', 'percentage': 857.1498588041682}",2025-08-24T07:23:01.195Z
renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,439151.0,128297363753,86,128297363753,861323805.0,443554.0,433345.0,2982.77,0.68386,2068450395.0,1.63865,292189.283772539,292189.283772539,,449011.0,-2.28851,2025-08-22T21:11:10.175Z,125620.0,249.25573,2025-04-09T01:30:57.856Z,,2025-08-24T07:23:00.997Z
kinetic-staked-hype,khype,Kinetiq Staked HYPE,https://coin-images.coingecko.com/coins/images/67388/large/khype.png?1752632397,3837.95,127113582077,87,127113582077,2744225787.0,3933.29,3793.09,22.63,0.59313,1917251812.0,1.5314,33118895.06505883,33118895.06505883,,4328.91,-11.24882,2025-08-15T04:37:01.110Z,3105.03,23.73343,2025-08-02T18:59:35.641Z,,2025-08-24T07:23:00.886Z
xdce-crowd-sale,xdc,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,7.15,126756184930,88,271636701245,3185434176.0,7.39,7.14,-0.2449647235489385,-3.31465,-4497937037.077881,-3.42689,17739128604.94999,38014700267.85,,14.32,-50.09296,2021-08-21T04:39:48.324Z,0.02721364,26165.01296,2019-07-22T00:00:00.000Z,"{'times': 1.2833038212401982, 'currency': 'eth', 'percentage': 128.33038212401982}",2025-08-24T07:23:00.839Z
usdtb,usdtb,USDtb,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,87.31,126534287237,89,126534287237,306430118.0,87.34,87.28,0.01257428,0.0144,-52857471.8125,-0.04176,1449215509.254127,1449215509.254127,,88.14,-0.93884,2025-02-07T13:50:36.784Z,77.41,12.79856,2025-07-17T08:05:52.672Z,,2025-08-24T07:23:01.315Z
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,445208.0,124450606457,90,124450606457,219451162.0,451312.0,437383.0,2399.9,0.54197,1106186175.0,0.89683,279392.6159772105,279392.6159772105,,454990.0,-1.93385,2025-08-22T21:13:02.824Z,128314.0,247.73351,2025-04-09T01:32:38.082Z,,2025-08-24T07:23:00.934Z
usdt0,usdt0,USDT0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,87.27,124213966042,91,124213966042,17904835731.0,87.42,87.15,0.061928,0.07101,-850087039.937149,-0.67972,1423654469.648382,1423654469.648382,,90.97,-3.95852,2025-01-23T22:34:53.341Z,83.75,4.32324,2025-05-02T04:26:02.804Z,,2025-08-24T07:22:51.130Z
sky,sky,Sky,https://coin-images.coingecko.com/coins/images/39925/large/sky.jpg?1724827980,5.77,122713627408,92,135570897302,344790908.0,6.03,5.76,-0.1417717351108081,-2.39693,-3027669950.7720184,-2.40786,21237513405.79375,23462665147.36596,,8.62,-33.05864,2025-07-28T05:30:56.088Z,3.12,84.7345,2025-02-03T05:01:48.626Z,,2025-08-24T07:23:00.835Z
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,1246.74,121845754588,93,124679443636,10195040255.0,1289.07,1246.27,-29.020614930959937,-2.27478,-2983214459.083908,-2.38984,97727220.33,100000000.0,,4364.19,-71.43123,2024-03-14T15:06:22.124Z,49.02,2443.69364,2020-11-03T16:19:30.576Z,,2025-08-24T07:23:00.981Z
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,87.28,119679697605,94,119679697605,1899876205.0,87.3,87.27,-0.00059507520197144,-0.00068,15449492.0,0.01291,1371011795.531291,1371011795.531291,,88.37,-1.22578,2025-03-02T15:30:36.944Z,80.05,9.05045,2024-04-13T20:11:24.582Z,,2025-08-24T07:23:01.362Z
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,68.0,119168049796,95,292105197375,17363647120.0,71.93,67.69,-0.27241145564475744,-0.39903,-718234295.8318787,-0.5991,1752186819.0,4294967296.0,4294967296.0,401.58,-83.08245,2024-03-06T08:35:50.817Z,31.35,116.68532,2022-06-18T20:54:52.178Z,,2025-08-24T07:23:01.019Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,156.85,118686957918,96,179128984081,7496161295.0,165.22,156.44,-8.370785781949081,-5.06656,-6378650727.212936,-5.10024,756630205.564247,1141948554.629728,,1730.96,-90.96328,2024-02-10T14:30:02.495Z,114.66,36.42754,2025-06-22T20:21:50.444Z,,2025-08-24T07:23:01.183Z
falcon-finance,usdf,Falcon USD,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,87.28,118556114897,97,118556114897,2241615277.0,87.31,87.19,0.01533172,0.01757,98588992.0,0.08323,1358267524.207916,1358267524.207916,,92.45,-5.57372,2025-05-08T21:25:42.071Z,80.47,8.48383,2025-05-13T17:40:35.908Z,,2025-08-24T07:23:01.225Z
nexo,nexo,NEXO,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,114.38,114380474957,98,114380474957,1083625894.0,118.08,114.3,-1.373396008046086,-1.18648,-1415415379.998703,-1.22234,1000000000.0,1000000000.0,1000000000.0,298.99,-61.72747,2021-05-12T14:37:47.535Z,3.25,3423.02851,2018-09-13T00:00:00.000Z,"{'times': 12.09750839779354, 'currency': 'usd', 'percentage': 1209.750839779354}",2025-08-24T07:23:00.884Z
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,127.56,114264012119,99,127563760528,9379956946.0,134.05,127.57,-3.0526439289065195,-2.33711,-2921533059.007614,-2.49308,895740386.192153,1000000000.0,1000000000.0,543.56,-76.53023,2021-08-20T08:35:20.158Z,31.66,302.89301,2022-06-18T20:55:12.035Z,,2025-08-24T07:23:01.049Z
hash-2,hash,Provenance Blockchain,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,2.35,113787953140,100,235266433392,1375755.0,4.07,2.19,0.073523,3.22591,3631161352.0,3.29636,48365570685.0,100000000000.0,100000000000.0,5.03,-53.22806,2025-07-10T08:19:31.383Z,1.18,98.64475,2025-06-04T11:15:56.153Z,,2025-08-24T07:23:00.789Z
