id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,3831.3,1278726062080,15,3830493609533,13259356961.0,3923.49,3790.0,19.6,0.51429,7757207430.0,0.61034,333772999.4341414,999835210.4341414,1000000000.0,4323.82,-11.36541,2025-08-15T04:12:25.026Z,321.88,1090.632,2024-11-29T09:30:30.871Z,,2025-08-24T07:22:49.964Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,10034752.0,1274977343984,16,1274977343984,8640101297.0,10124274.0,10001889.0,-71077.71196890995,-0.70333,-9019912343.67212,-0.70249,127037.57872278,127037.57872278,127037.57872278,10833511.0,-7.4182,2025-08-14T00:40:53.782Z,217246.0,4516.82887,2019-04-02T00:00:00.000Z,,2025-08-24T07:23:01.468Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,445646.0,1137450765609,17,1137450765609,1335213863.0,450082.0,439697.0,2032.41,0.45815,4241680708.0,0.37431,2550773.114062854,2550773.114062854,,456210.0,-2.36236,2025-08-22T21:10:10.572Z,130059.0,242.48418,2025-04-09T03:10:31.769Z,,2025-08-24T07:23:01.095Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,322.28,1131711632338,18,3222482826501,66690272777.0,329.26,321.57,-6.729365614634787,-2.04537,-25119093843.16797,-2.17137,3511924479.569998,10000000000.0,10000000000.0,458.6,-29.71856,2025-01-04T22:56:18.063Z,30.36,961.49516,2023-10-19T22:05:15.703Z,,2025-08-24T07:22:50.766Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,35.76,1121371312899,19,1788471816962,17470396240.0,36.66,35.78,-0.9011161574445978,-2.45781,-29603973598.368652,-2.57208,31351105943.81418,50001786889.0645,50001786889.0645,58.01,-38.31474,2021-05-16T09:48:45.220Z,0.02966141,120534.37835,2015-03-05T00:00:00.000Z,,2025-08-24T07:22:50.191Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,87.35,1051641215992,20,1051641215992,18622990314.0,87.39,87.31,-0.002314342451668949,-0.00265,14682372663.0,1.41591,12038741637.98991,12038741637.98991,,88.29,-1.05964,2025-08-06T16:02:11.082Z,78.05,11.92028,2024-10-04T07:57:15.809Z,,2025-08-24T07:23:00.901Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,51709.0,1029882780917,21,1029883265718,14427250944.0,52189.0,51083.0,-41.85965081791073,-0.08089,-1086735666.2194824,-0.10541,19915684.27165078,19915693.64665078,21000000.0,242198.0,-78.64828,2017-12-20T00:00:00.000Z,5536.54,834.03911,2018-12-16T00:00:00.000Z,,2025-08-24T07:22:50.285Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,416079.0,982331662518,22,982331662518,52431659095.0,419831.0,410005.0,2096.35,0.50639,74444196013.0,8.19972,2360631.867556704,2360631.867556704,,426113.0,-2.3278,2025-08-22T21:33:23.642Z,5908.49,6943.99579,2018-12-15T00:00:00.000Z,,2025-08-24T07:22:56.728Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,2226.48,940345002230,23,1020071446008,97556708283.0,2321.99,2204.0,14.98,0.67725,6030172072.0,0.64541,422276596.0335201,458078999.632708,720000000.0,10772.35,-79.32926,2021-11-21T14:18:56.538Z,204.63,988.17367,2020-12-31T13:15:21.540Z,,2025-08-24T07:23:01.485Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,21.66,918048965299,24,1082785527770,14859507081.0,22.21,21.63,-0.39624027090702185,-1.79677,-17886525898.383667,-1.91109,42392927396.68321,50000000000.0,50000000000.0,41.81,-48.19272,2021-09-15T10:40:28.318Z,0.703644,2978.03399,2020-01-02T17:30:24.852Z,,2025-08-24T07:23:01.102Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,10497.13,800138652431,25,800145016674,32929117924.0,10681.28,10496.48,-184.1455737726228,-1.724,-14291678081.426514,-1.75481,76220233.23347135,76220839.48347135,84000000.0,30082.0,-65.10946,2021-05-10T03:13:07.904Z,72.12,14452.74317,2015-01-14T00:00:00.000Z,,2025-08-24T07:23:01.781Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,837.87,773618881002,26,825747690908,90372683.0,840.6,834.78,1.47,0.17635,1550969959.0,0.20089,923042099.9,985239504.0,,884.76,-5.28932,2025-03-10T09:26:43.294Z,56.97,1370.78045,2019-12-24T15:14:35.376Z,,2025-08-24T07:23:00.955Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,292.26,750088219474,27,1501458399369,11195836358.0,297.55,291.06,-5.287378655389091,-1.77696,-14657857296.161255,-1.9167,2567141950.139289,5138671350.032707,,689.6,-57.67928,2024-06-15T00:36:51.509Z,38.25,662.90233,2021-09-21T00:33:11.092Z,,2025-08-24T07:23:01.420Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,87.28,684924658662,28,684924658662,1079947765.0,87.35,87.21,0.01264564,0.01449,335850874.0,0.04906,7847256485.574522,7847256485.574522,,88.9,-1.82169,2024-10-29T05:40:51.197Z,79.67,9.55069,2024-10-03T13:19:28.826Z,,2025-08-24T07:23:00.741Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.00113294,668255173522,29,668544348146,14964427292.0,0.00116206,0.00113157,-2.912213920306e-05,-2.50608,-18780211376.61609,-2.73351,589245961301073.4,589500946202341.0,,0.00645756,-82.45592,2021-10-28T03:54:55.568Z,4.169e-09,27174775.72318,2020-11-28T11:26:25.838Z,,2025-08-24T07:23:01.337Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,87.24,591927239683,30,591927239683,138203589365.0,87.56,87.13,0.02551495,0.02926,-133134109.5053711,-0.02249,6784993599.453935,6784993599.453935,,89.78,-2.78458,2025-02-03T02:11:18.905Z,79.78,9.39523,2024-12-05T22:30:39.827Z,,2025-08-24T07:22:50.712Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,970.13,582627969091,31,970265432281,32485471490.0,996.28,966.49,-11.84063148782866,-1.20581,-6987967807.807739,-1.18517,600483073.71,1000000000.0,1000000000.0,3333.06,-70.89321,2021-05-03T05:25:04.822Z,75.81,1179.74466,2020-09-17T01:20:38.214Z,,2025-08-24T07:23:01.403Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,3850.25,554041960426,32,1240473062762,2624530128.0,3872.45,3823.43,-5.058313769251072,-0.1312,-2793431131.656494,-0.50166,144118517.10815412,322674366.0,400000000.0,4498.83,-14.47143,2025-06-16T09:30:18.527Z,245.71,1466.00048,2022-09-21T23:38:03.675Z,,2025-08-24T07:23:01.022Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,357.16,543965693368,33,543965693368,23548170844.0,370.32,356.32,-6.308054157652862,-1.73552,-9877538449.6474,-1.78345,1522267060.0,1522267060.0,,4095.22,-91.27863,2021-11-04T14:10:09.301Z,202.26,76.58676,2020-08-19T03:44:11.556Z,,2025-08-24T07:23:01.020Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,10028609.0,522308319035,34,522308319035,19016173434.0,10135845.0,10004536.0,-79518.45365981385,-0.78668,2197782700.0,0.42256,52095.95693349,52095.95693349,,10838558.0,-7.46921,2025-08-14T00:40:22.976Z,4820877.0,108.03274,2024-09-12T14:07:41.775Z,,2025-08-24T07:23:01.477Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,104.0,486781016101,35,486781016101,1315461596.0,104.03,103.85,0.01626482,0.01564,655941920.0,0.13493,4680594963.640877,4680594963.640877,,111.83,-6.99904,2025-01-29T17:52:32.991Z,84.45,23.15007,2024-04-03T07:41:03.191Z,,2025-08-24T07:23:00.888Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,411.06,468413939405,36,468413939405,9853395768.0,417.42,408.9,-3.8273817897909908,-0.92252,-5735406627.5668335,-1.20962,1139992035.9787908,1139992035.9787908,2000000000.0,722.65,-43.11829,2024-12-27T11:41:24.992Z,1.081,37921.32419,2020-06-25T04:17:05.895Z,,2025-08-24T07:23:00.729Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,13.9,468067972943,37,1365291274698,2620907449.0,14.26,13.42,0.405224,3.00214,15569976013.0,3.44089,33579094772.7939,97945699675.42258,100000000000.0,72.06,-80.70042,2021-11-24T15:53:54.855Z,0.864137,1509.41714,2019-02-08T00:00:00.000Z,,2025-08-24T07:23:00.739Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,30434.0,463069189033,38,486933538477,99580823722.0,32939.0,29713.0,-17.432289139156637,-0.05725,-1173468583.225891,-0.25277,15215848.65091661,16000000.0,16000000.0,48387.0,-37.10299,2021-05-18T21:19:59.514Z,1933.39,1474.13548,2020-11-05T09:20:11.928Z,,2025-08-24T07:23:01.435Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,23454.0,432467659522,39,432467659522,6355910153.0,23701.0,22733.0,-159.29546787404252,-0.67461,-3155189311.720459,-0.72429,18446744.07370955,18446744.07370955,,37647.0,-37.62213,2021-05-07T16:03:51.202Z,13.57,172944.43048,2015-01-14T00:00:00.000Z,,2025-08-24T07:23:00.734Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,61.55,407580662900,40,923259642245,49377088337.0,65.46,61.36,-3.9046465741024576,-5.96527,-25918822916.210632,-5.97897,6621875000.0,15000000000.0,,126.48,-51.37644,2024-04-11T13:15:15.057Z,16.38,275.38167,2024-09-06T21:04:48.253Z,,2025-08-24T07:23:00.848Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.00095968,404045962763,41,404045962763,49206735305.0,0.0010045,0.00095927,-4.4817364044514e-05,-4.46166,-20163113239.86737,-4.75311,420690000000000.0,420690000000000.0,420690000000000.0,0.00237833,-59.66344,2024-12-09T16:30:35.828Z,4.52e-06,21122.60336,2023-04-18T02:14:41.591Z,,2025-08-24T07:23:01.339Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,87.33,375193123478,42,375193123478,7611533891.0,87.35,87.28,0.00991647,0.01136,1548931618.0,0.41455,4296216201.763468,4296216201.763468,,90.72,-3.73425,2020-03-13T03:02:50.373Z,64.85,34.67237,2019-11-25T00:04:18.137Z,,2025-08-24T07:23:00.919Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,110.1,370593004283,43,684781966300,31048361074.0,111.92,105.75,-0.42352469881610944,-0.38318,-1419096239.1107788,-0.38147,3365794382.836841,6219316794.99,6219316794.99,128.22,-13.7273,2024-04-08T09:45:25.482Z,25.64,331.4868,2023-10-18T02:50:46.942Z,,2025-08-24T07:23:01.109Z
